jahr,haus,bis_wahl,maxdd_jahr,nach6m,nach12m,nach24m
1930,→D,-0.242,-0.377,-0.04,-0.31,-0.572
1934,–,-0.067,-0.266,0.048,0.389,0.874
1938,–,0.299,-0.238,-0.182,-0.077,-0.18
1942,–,0.078,-0.157,0.233,0.21,0.346
1946,→R,-0.138,-0.237,-0.015,0.031,0.039
1950,–,0.188,-0.124,0.12,0.141,0.243
1954,→D,0.318,-0.03,0.158,0.344,0.436
1958,–,0.279,-0.022,0.097,0.102,0.051
1962,–,-0.178,-0.257,0.2,0.248,0.45
1966,–,-0.113,-0.22,0.141,0.125,0.269
1970,–,-0.094,-0.218,0.221,0.122,0.356
1974,–,-0.243,-0.372,0.209,0.192,0.346
1978,–,-0.003,-0.114,0.04,0.071,0.363
1982,–,0.16,-0.139,0.168,0.143,0.178
1986,–,0.165,-0.088,0.194,0.019,0.124
1990,–,-0.112,-0.183,0.198,0.252,0.331
1994,→R,-0.009,-0.075,0.137,0.282,0.581
1998,–,0.17,-0.179,0.179,0.201,0.25
2002,–,-0.237,-0.313,0.043,0.177,0.303
2006,→D,0.106,-0.068,0.09,0.053,-0.326
2010,→R,0.099,-0.16,0.093,0.022,0.154
2014,–,0.11,-0.062,0.041,0.033,0.026
2018,→D,0.04,-0.099,0.036,0.112,0.262
2022,→R,-0.162,-0.234,0.033,0.106,0.502
