0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
"U.S. Home Price and Related data, for Figure 3.1 in Robert J. Shiller, Irrational Exuberance, 3rd. Edition, Princeton University Press, 2015, as updated by author",,,,,,,,,,,,,,,,,,
See the book for description of data.,,,,"Update Nominal Home Price Index, Click Additional Information, National Index: https://www.spglobal.com/spdji/en/indices/indicators/sp-corelogic-case-shiller-us-national-home-price-nsa-index/#data",,,,,,,,,,,,,,
"Monthly data from January 1953 for prices, all other data are annual.",,,,,,,,Nominal,,,,,,,,,,
,Real,,Real,,,,,Home,,,Nominal,,,Consumer,,,,
,Home,,Building,U.S.,,,,Price,HPI,,Building,,,Price,CPI Annual&,,,
,Price,,Cost,Population,,Long Rate,,Index,Source ,,Cost,Build Cost,,Index,Quarterly,,,CPI
Date,Index,Date,Index,Millions,Long Rate,Source,Date,From fig2.1Revised2011.xls,,Date,Index,Source,Date,,Source,,Date,Annual
1890,100,1890,51.36233983496865,63.056,3.42,Homer,1890,3.5572964464730945,Grebler,1890,104.12037272937236,Grebler,1890,7.611651901,Warren&Pearson,,1890,7.611651901
1891,88.01179105656392,1891,47.266162908553916,64.361,3.62,Homer,1891,3.209110823653542,Grebler,1891,98.21211401807837,Grebler,1891,7.801941983,Warren&Pearson,,1891,7.801941983
1892,95.42173618250325,1892,52.0481550155526,65.666,3.6,Homer,1892,3.2671417607901345,Grebler,1892,101.55395922450995,Grebler,1892,7.326212727,Warren&Pearson,,1892,7.326212727
1893,92.29738548098196,1893,44.673331550321265,66.97,3.75,Homer,1893,3.406416009917956,Grebler,1893,93.9566413010539,Grebler,1893,7.897091074,Warren&Pearson,,1893,7.897091074
1894,123.98048277944352,1894,57.26343379944134,68.275,3.7,Homer,1894,3.969316100142899,Grebler,1894,104.47457306769778,Grebler,1894,6.850483471,Warren&Pearson,,1894,6.850483471
1895,117.45509156635745,1895,61.470338429243704,69.58,3.46,Homer,1895,3.6037211961823687,Grebler,1895,107.47706451377604,Grebler,1895,6.565052397,Warren&Pearson,,1895,6.565052397
1896,100.30299018534107,1896,60.06894542897356,70.885,3.6,Homer,1896,3.122064417948654,Grebler,1896,106.54886863492854,Grebler,1896,6.660193388,Warren&Pearson,,1896,6.660193388
1897,106.51570280594892,1897,62.38489275638975,72.189,3.4,Homer,1897,3.2207170110808607,Grebler,1897,107.49523620119035,Grebler,1897,6.469903306,Warren&Pearson,,1897,6.469903306
1898,110.18413977609032,1898,61.438038202283494,73.494,3.35,Homer,1898,3.4296283847725926,Grebler,1898,108.97733287732007,Grebler,1898,6.660193388,Warren&Pearson,,1898,6.660193388
1899,103.85311334184749,1899,64.04460579646552,74.799,3.1,Homer,1899,3.2787479482174526,Grebler,1899,115.22372835043592,Grebler,1899,6.755342479,Warren&Pearson,,1899,6.755342479
1900,101.57429475419818,1900,49.420633813161956,76.094,3.15,Homer,1900,3.7487985390238485,Grebler,1900,103.94113451833215,Grebler,1900,7.897091074,Warren&Pearson,,1900,7.897091074
1901,87.32609550259289,1901,51.25232443809333,77.584,3.1,Homer,1901,3.145276792803291,Grebler,1901,105.19600577708134,Grebler,1901,7.706792893,Warren&Pearson,,1901,7.706792893
1902,100.47364450144372,1902,50.516165104586726,79.163,3.18,Homer,1902,3.708176883028234,Grebler,1902,106.24524833770403,Grebler,1902,7.897091074,Warren&Pearson,,1902,7.897091074
1903,93.07489238475267,1903,43.54354963572615,80.632,3.3,Homer,1903,3.7662078201648264,Grebler,1903,100.40756224678127,Grebler,1903,8.658259504,Warren&Pearson,,1903,8.658259504
1904,101.85435896630196,1904,47.08562106216257,82.166,3.4,Homer,1904,3.940300631574603,Grebler,1904,103.80275907970983,Grebler,1904,8.277679339,Warren&Pearson,,1904,8.277679339
1905,87.2485475278975,1905,47.11098374931208,83.822,3.48,Homer,1905,3.4528407596272293,Grebler,1905,106.24570255051941,Grebler,1905,8.467928926,Warren&Pearson,,1905,8.467928926
1906,103.52516731881619,1906,51.76914843463732,85.45,3.43,Homer,1906,4.096984161843401,Grebler,1906,116.75089561169436,Grebler,1906,8.467928926,Warren&Pearson,,1906,8.467928926
