year,duties_pct_total_imports
1891,25.5
1892,21.5
1893,23.8
1894,20.5
1895,20.2
1896,20.5
1897,21.8
1898,24.6
1899,29.3
1900,27.5
1901,28.8
1902,27.8
1903,27.8
1904,26.2
1905,23.7
1906,24.2
1907,23.3
1908,23.9
1909,23.0
1910,21.1
1911,20.3
1912,18.6
1913,17.7
1914,14.9
1915,12.5
1916,9.6
1917,8.3
1918,6.3
1919,6.2
1920,6.4
1921,11.4
1922,14.7
1923,15.2
1924,14.9
1925,13.2
1926,13.4
1927,13.8
1928,13.3
1929,13.5
1930,13.7
1931,17.8
1932,19.6
1933,19.8
1934,18.4
1935,17.5
1936,16.8
1937,15.6
1938,15.5
1939,14.4
1940,12.5
1941,13.6
1942,11.6
1943,11.6
1944,9.9
1945,9.6
1946,10.3
1947,7.9
1948,5.9
1949,5.7
1950,6.1
1951,5.6
1952,5.3
1953,5.5
1954,5.4
1955,5.9
1956,5.9
1957,6.0
1958,6.5
1959,7.1
1960,7.2
1961,7.2
1962,7.6
1963,7.4
1964,7.4
1965,7.6
1966,7.6
1967,7.5
1968,7.1
1969,7.1
1970,6.5
1971,6.1
1972,5.7
1973,5.0
1974,3.8
1975,3.9
1976,3.9
1977,3.7
1978,4.0
1979,3.5
1980,3.1
1981,3.4
1982,3.6
1983,3.7
1984,3.7
1985,3.8
1986,3.6
1987,3.5
1988,3.4
1989,3.4
1990,3.3
1991,3.4
1992,3.3
1993,3.2
1994,3.0
1995,2.5
1996,2.3
1997,2.1
1998,2.0
1999,1.8
2000,1.6
2001,1.6
2002,1.7
2003,1.6
2004,1.5
2005,1.4
2006,1.4
2007,1.3
2008,1.2
2009,1.4
2010,1.4
2011,1.3
2012,1.3
2013,1.4
2014,1.4
2015,1.5
2016,1.5
2017,1.4
2018,1.8
2019,2.6
2020,2.8
2021,3.0
2022,2.8
2023,2.4
2024,2.3
2025,7.8
