key,P,D,CPI,CAPE,TRCAPE
187101,4.44,0.26,12.46406116,,
187102,4.5,0.26,12.84464132,,
187103,4.61,0.26,13.0349719,,
187104,4.74,0.26,12.55922645,,
187105,4.86,0.26,12.27381157,,
187106,4.82,0.26,12.08348099,,
187107,4.73,0.26,12.08348099,,
187108,4.79,0.26,11.8932314,,
187109,4.84,0.26,12.17864628,,
187110,4.59,0.26,12.36889587,,
187111,4.64,0.26,12.36889587,,
187112,4.74,0.26,12.65439174,,
187201,4.86,0.2633,12.65439174,,
187202,4.88,0.2667,12.65439174,,
187203,5.04,0.27,12.84464132,,
187204,5.18,0.2733,13.13013719,,
187205,5.18,0.2767,13.13013719,,
187206,5.13,0.28,13.0349719,,
187207,5.1,0.2833,12.84464132,,
187208,5.04,0.2867,12.93980661,,
187209,4.95,0.29,13.0349719,,
187210,4.97,0.2933,12.74947603,,
187211,4.95,0.2967,13.13013719,,
187212,5.07,0.3,12.93980661,,
187301,5.11,0.3025,12.93980661,,
187302,5.15,0.305,13.22522149,,
187303,5.11,0.3075,13.22522149,,
187304,5.04,0.31,13.22522149,,
187305,5.05,0.3125,12.93980661,,
187306,4.98,0.315,12.55922645,,
187307,4.97,0.3175,12.55922645,,
187308,4.97,0.32,12.55922645,,
187309,4.59,0.3225,12.55922645,,
187310,4.19,0.325,12.27381157,,
187311,4.04,0.3275,11.8932314,,
187312,4.42,0.33,12.17864628,,
187401,4.66,0.33,12.36889587,,
187402,4.8,0.33,12.36889587,,
187403,4.73,0.33,12.36889587,,
187404,4.6,0.33,12.17864628,,
187405,4.48,0.33,12.08348099,,
187406,4.46,0.33,11.79806612,,
187407,4.46,0.33,11.8932314,,
187408,4.47,0.33,11.79806612,,
187409,4.54,0.33,11.79806612,,
187410,4.53,0.33,11.60773554,,
187411,4.57,0.33,11.51265124,,
187412,4.54,0.33,11.51265124,,
187501,4.54,0.3275,11.51265124,,
187502,4.53,0.325,11.51265124,,
187503,4.59,0.3225,11.51265124,,
187504,4.65,0.32,11.60773554,,
187505,4.47,0.3175,11.32232066,,
187506,4.38,0.315,11.13207107,,
187507,4.39,0.3125,11.13207107,,
187508,4.41,0.31,11.22715537,,
187509,4.37,0.3075,11.13207107,,
187510,4.3,0.305,11.13207107,,
187511,4.37,0.3025,11.03690579,,
187512,4.37,0.3,10.9417405,,
187601,4.46,0.3,10.84657521,,
187602,4.52,0.3,10.84657521,,
187603,4.51,0.3,10.84657521,,
187604,4.34,0.3,10.75149091,,
187605,4.18,0.3,10.37091074,,
187606,4.15,0.3,10.08541488,,
187607,4.1,0.3,10.08541488,,
187608,3.93,0.3,10.18058017,,
187609,3.69,0.3,10.27574545,,
187610,3.67,0.3,10.46599504,,
187611,3.6,0.3,10.56116033,,
187612,3.58,0.3,10.75149091,,
187701,3.55,0.2908,10.9417405,,
187702,3.34,0.2817,10.65632562,,
187703,3.17,0.2725,10.18058017,,
187704,2.94,0.2633,10.46599504,,
187705,2.94,0.2542,10.65632562,,
187706,2.73,0.245,10.08541488,,
187707,2.85,0.2358,10.18058017,,
187708,3.05,0.2267,9.8,,
187709,3.24,0.2175,9.704834711,,
187710,3.31,0.2083,9.704834711,,
187711,3.26,0.1992,9.514585124,,
187712,3.25,0.19,9.514585124,,
187801,3.25,0.1892,9.229089256,,
187802,3.18,0.1883,9.134004959,,
187803,3.24,0.1875,8.94367438,,
187804,3.33,0.1867,8.848509091,,
187805,3.34,0.1858,8.563094215,,
187806,3.41,0.185,8.372844628,,
187807,3.48,0.1842,8.467928926,,
187808,3.45,0.1833,8.563094215,,
187809,3.52,0.1825,8.563094215,,
187810,3.48,0.1817,8.467928926,,
187811,3.47,0.1808,8.372844628,,
187812,3.45,0.18,8.18251405,,
187901,3.58,0.1817,8.277679339,,
187902,3.71,0.1833,8.372844628,,
187903,3.65,0.185,8.277679339,,
187904,3.77,0.1867,8.18251405,,
187905,3.94,0.1883,8.18251405,,
187906,3.96,0.19,8.087381157,,
187907,4.04,0.1917,8.18251405,,
187908,4.07,0.1933,8.18251405,,
187909,4.22,0.195,8.467928926,,
187910,4.68,0.1967,8.94367438,,
187911,4.93,0.1983,9.419419835,,
187912,4.92,0.2,9.704834711,,
188001,5.11,0.205,9.990330579,,
188002,5.2,0.21,9.990330579,,
188003,5.3,0.215,10.08541488,,
188004,5.18,0.22,9.704834711,,
188005,4.77,0.225,9.419419835,,
188006,4.79,0.23,9.229089256,,
188007,5.01,0.235,9.229089256,,
188008,5.19,0.24,9.229089256,,
188009,5.18,0.245,9.324254545,,
188010,5.33,0.25,9.324254545,,
188011,5.61,0.255,9.419419835,,
188012,5.84,0.26,9.514585124,,
188101,6.19,0.265,9.419419835,18.473952301404942,24.135057421965016
188102,6.17,0.27,9.514585124,18.14725816499024,23.6555032661501
188103,6.24,0.275,9.514585124,18.270119140204997,23.767712891469255
188104,6.22,0.28,9.609669421,17.950108278222896,23.308850117141485
188105,6.5,0.285,9.514585124,18.8697186931526,24.456686047737893
188106,6.58,0.29,9.514585124,19.02871073111579,24.616330670871356
188107,6.35,0.295,9.609669421,18.116367187389752,23.397455434510498
188108,6.2,0.3,9.8,17.28624355397345,22.294300579943215
188109,6.25,0.305,10.18058017,16.724836648772907,21.542784022650437
188110,6.15,0.31,10.27574545,16.26198941118135,20.927319306516623
188111,6.19,0.315,10.18058017,16.47864231664487,21.18977465045719
188112,6.01,0.32,10.18058017,15.958754206105084,20.509855894384813
188201,5.92,0.32,10.18058017,15.678764160028747,20.142053775383264
188202,5.79,0.32,10.27574545,15.153861528363045,19.462129672651724
188203,5.78,0.32,10.27574545,15.09167029948675,19.377440588099798
188204,5.78,0.32,10.37091074,14.916997168375307,19.149099336903035
188205,5.71,0.32,10.46599504,14.567103202191767,18.69842050025918
188206,5.68,0.32,10.56116033,14.327404890131675,18.39019781872344
188207,6.0,0.32,10.46599504,15.24055976121783,19.55702412921713
188208,6.18,0.32,10.56116033,15.525429331463037,19.913629768832696
188209,6.24,0.32,10.27574545,16.081106624462315,20.61719470598177
188210,6.07,0.32,10.18058017,15.755581030526558,20.192326679272217
188211,5.81,0.32,10.08541488,15.192670313165342,19.46618580570175
188212,5.84,0.32,9.990330579,15.382128332081978,19.704614063292855
188301,5.81,0.3208,9.990330579,15.270259119098574,19.556713466650184
188302,5.68,0.3217,10.08541488,14.757590146176227,18.8982221884684
188303,5.75,0.3225,9.990330579,15.051254121401639,19.273105236150062
188304,5.87,0.3233,9.895165289,15.482067222036676,19.821692820458182
188305,5.77,0.3242,9.8,15.335497637337065,19.63264291950356
188306,5.82,0.325,9.514585124,15.903388388583794,20.35644802334545
188307,5.73,0.3258,9.324254545,15.948783127017029,20.410434017234646
188308,5.47,0.3267,9.324254545,15.19681087662985,19.448085508176298
188309,5.53,0.3275,9.229089256,15.494692425793458,19.828736618724495
188310,5.38,0.3283,9.229089256,15.048056270223842,19.25930818643971
188311,5.46,0.3292,9.134004959,15.408218142448874,19.720544543933176
188312,5.34,0.33,9.229089256,14.896403941887167,19.066539273012438
188401,5.18,0.3283,9.229089256,14.432821721970726,18.478450440666556
188402,5.32,0.3267,9.229089256,14.805960228816716,18.96024883164489
188403,5.3,0.325,9.229089256,14.736023454014472,18.875642451992512
188404,5.06,0.3233,9.038839669,14.353453682579472,18.395357641018045
188405,4.65,0.3217,8.848509091,13.465050313804905,17.27291894887987
188406,4.46,0.32,8.848509091,12.906876483666863,16.575562457475296
188407,4.46,0.3183,8.753424793,13.043931585991668,16.76976853063277
188408,4.74,0.3167,8.753424793,13.859813341769325,17.83206263060006
188409,4.59,0.315,8.658259504,13.569154744335723,17.474388100341244
188410,4.44,0.3133,8.563094215,13.273251319134156,17.112421679154775
188411,4.35,0.3117,8.372844628,13.30443760211973,17.173051638572854
188412,4.34,0.31,8.277679339,13.432292746944764,17.357970009963747
188501,4.24,0.3042,8.277679339,13.129817425635963,16.987379177257107
188502,4.37,0.2983,8.372844628,13.384817593597965,17.334064590871233
188503,4.38,0.2925,8.18251405,13.734194093452514,17.803189669171854
188504,4.37,0.2867,8.277679339,13.548548541030058,17.577505686645956
188505,4.32,0.2808,8.087381157,13.711371872561942,17.804975054591768
188506,4.3,0.275,7.897091074,13.978784368698353,18.166486027738838
188507,4.46,0.2692,7.992232066,14.326658777089326,18.627238981582376
188508,4.71,0.2633,7.992232066,15.130410796707155,19.676139676121828
188509,4.65,0.2575,7.897091074,15.116285028724242,19.662671854522625
188510,4.92,0.2517,7.897091074,15.991023962168983,20.799074639680097
188511,5.24,0.2458,7.992232066,16.82403449861902,21.87509966239492
188512,5.2,0.24,8.18251405,16.304475952278526,21.192987772511717
188601,5.2,0.2383,7.992232066,16.692317470797658,21.692296410859058
188602,5.3,0.2367,7.992232066,17.006648259461002,22.092422581197702
188603,5.19,0.235,7.897091074,16.843266101570137,21.87322355959163
188604,5.12,0.2333,7.801941983,16.801716131246305,21.812473807208228
188605,5.02,0.2317,7.611651901,16.863195515097832,21.88583969576427
188606,5.25,0.23,7.51650281,17.831494055376883,23.128666989576484
188607,5.33,0.2283,7.611651901,17.84584504153221,23.13006740187336
188608,5.37,0.2267,7.706792893,17.72391279961927,22.9549738392198
188609,5.51,0.225,7.706792893,18.14714392580003,23.484613598095915
188610,5.65,0.2233,7.706792893,18.562381342866566,24.001461288727935
188611,5.79,0.2217,7.706792893,18.968312634942837,24.504279362629482
188612,5.64,0.22,7.801941983,18.194057556886438,23.485324841739722
188701,5.58,0.2225,7.992232066,17.512222096304956,22.59075438151064
188702,5.54,0.225,8.087381157,17.125366596972317,22.080922961887403
188703,5.67,0.2275,8.087381157,17.473213711513754,22.517438233129706
188704,5.8,0.23,8.087381157,17.82298363910071,22.953677448902006
188705,5.9,0.2325,8.087381157,18.07544542745824,23.264710044683643
188706,5.73,0.235,7.992232066,17.707695663272986,22.781332053852907
188707,5.59,0.2375,7.897091074,17.43146053561307,22.416555953423345
188708,5.45,0.24,7.992232066,16.739849614820702,21.52061467573705
188709,5.38,0.2425,7.897091074,16.676629667380144,21.434140136239726
188710,5.2,0.245,7.992232066,15.880666812517312,20.40860138764957
188711,5.3,0.2475,8.087381157,15.950712201066773,20.4958572795052
188712,5.27,0.25,8.277679339,15.455513454469944,19.85794687505821
188801,5.31,0.2483,8.372844628,15.358662514259905,19.731734100274647
188802,5.28,0.2467,8.277679339,15.418178318820534,19.807302727374452
188803,5.08,0.245,8.277679339,14.808972366946568,19.02661149319171
188804,5.1,0.2433,8.18251405,15.02010868184446,19.29957161656765
188805,5.17,0.2417,8.087381157,15.38791695722913,19.772685839694237
188806,5.01,0.24,7.992232066,15.077628818434691,19.375983676114195
188807,5.14,0.2383,8.087381157,15.279642515498175,19.635009581546463
188808,5.25,0.2367,8.087381157,15.602911670088805,20.049771885586612
188809,5.38,0.235,8.087381157,15.987828821761422,20.542902549349098
188810,5.35,0.2333,8.18251405,15.715941874329705,20.193130565349648
188811,5.24,0.2317,8.277679339,15.223749016946284,19.562485773849474
188812,5.14,0.23,8.277679339,14.946748301089228,19.210201901691885
188901,5.24,0.2292,7.992232066,15.802286071028163,20.312198653655688
188902,5.3,0.2283,7.897091074,16.192720447848995,20.81330768748955
188903,5.19,0.2275,7.801941983,16.06504536076929,20.648519003321095
