t,c,l,s200,w200,cape,trcape,cpi,div,tr_nom,tr_real,price_real
1927-12-30,17.66,17.66,,,18.8602,24.3752,17.3,0.77,1,19.3001,340.841
1928-01-03,17.66,17.55,,,18.9456,24.4,17.3,0.7767,1.00085,19.3165,340.841
1928-01-09,17.58,17.35,,,18.8598,24.2895,17.3,0.7767,0.997158,19.2453,339.297
1928-01-16,17.48,17.26,,,18.7525,24.1513,17.3,0.7767,0.992334,19.1522,337.367
1928-01-23,17.69,17.52,,,18.9778,24.4415,17.3,0.7767,1.0051,19.3986,341.42
1928-01-30,17.4,17.4,,,18.6667,24.0408,17.3,0.7767,0.989475,19.097,335.823
1928-02-06,17.54,17.44,,,19.1085,24.5291,17.1,0.7833,0.998293,19.4925,342.484
1928-02-14,17.04,17.04,,,18.5638,23.8299,17.1,0.7833,0.970692,18.9536,332.721
1928-02-20,17.18,16.95,,,18.7163,24.0256,17.1,0.7833,0.979526,19.1261,335.455
1928-02-27,17.3,17.11,,,18.8471,24.1935,17.1,0.7833,0.987226,19.2765,337.798
1928-03-05,17.93,17.57,,,19.5937,25.0664,17.1,0.79,1.02404,19.9954,350.099
1928-03-12,18.26,17.92,,,19.9543,25.5277,17.1,0.79,1.04376,20.3803,356.543
1928-03-19,18.78,18.36,,,20.5226,26.2547,17.1,0.79,1.07435,20.9777,366.696
1928-03-26,19.28,18.89,,,21.069,26.9537,17.1,0.79,1.10382,21.5531,376.459
1928-04-02,19.23,18.91,,,21.0716,26.8612,17.1,0.7967,1.10184,21.5144,375.483
1928-04-09,19.73,19.1,,,21.6195,27.5596,17.1,0.7967,1.13137,22.0909,385.246
1928-04-16,19.34,19.34,,,21.1922,27.0148,17.1,0.7967,1.10988,21.6714,377.63
1928-04-23,19.68,19.15,,,21.5647,27.4898,17.1,0.7967,1.13027,22.0695,384.269
1928-04-30,20.24,19.75,,,22.1784,28.272,17.1,0.7967,1.16331,22.7147,395.204
1928-05-07,20.36,20.21,,,22.2257,28.2328,17.2,0.8033,1.1711,22.7338,395.236
1928-05-14,19.92,19.92,,,21.7454,27.6227,17.2,0.8033,1.14668,22.2597,386.694
1928-05-21,19.9,19.36,,,21.7236,27.5949,17.2,0.8033,1.14642,22.2546,386.306
1928-05-28,20.07,19.57,,,21.9091,27.8307,17.2,0.8033,1.1571,22.462,389.606
1928-06-04,19.37,19.37,,,21.2983,26.9694,17.1,0.81,1.11764,21.8229,378.216
1928-06-11,18.74,18.34,,,20.6055,26.0922,17.1,0.81,1.08219,21.1307,365.915
1928-06-18,18.54,18.34,,,20.3856,25.8137,17.1,0.81,1.07154,20.9227,362.01
1928-06-25,19.14,18.47,,,21.0454,26.6491,17.1,0.81,1.10712,21.6174,373.725
1928-07-02,19.39,18.98,,,21.335,26.9333,17.1,0.8167,1.12249,21.9175,378.607
1928-07-09,18.96,18.81,,,20.8618,26.336,17.1,0.8167,1.0985,21.4492,370.211
1928-07-16,19.03,18.7,,,20.9389,26.4333,17.1,0.8167,1.10347,21.5462,371.577
1928-07-23,19.42,19.09,,,21.368,26.975,17.1,0.8167,1.12699,22.0055,379.193
1928-07-30,19.36,19.33,,,21.302,26.8917,17.1,0.8167,1.12442,21.9553,378.021
1928-08-06,19.25,19.25,,,21.179,26.6568,17.1,0.8233,1.11895,21.8486,375.873
1928-08-13,19.64,19.13,,,21.6081,27.1968,17.1,0.8233,1.14254,22.3092,383.488
1928-08-20,20.34,19.77,,,22.3782,28.1662,17.1,0.8233,1.18419,23.1223,397.156
1928-08-27,20.87,20.38,,,22.9614,28.9001,17.1,0.8233,1.21597,23.7428,407.505
1928-09-04,21.09,20.94,,,22.9177,28.7574,17.3,0.83,1.22971,23.7336,407.04
1928-09-10,21.14,20.92,,,22.972,28.8256,17.3,0.83,1.23356,23.8079,408.005
1928-09-17,21.36,21.18,,,23.2111,29.1256,17.3,0.83,1.24733,24.0736,412.251
1928-09-24,21.14,21.13,,,22.972,28.8256,17.3,0.83,1.23541,23.8437,408.005
1928-10-01,21.22,21.19,,,23.1635,28.9812,17.2,0.8367,1.24103,24.0913,411.93
1928-10-08,21.51,21.11,,,23.4801,29.3773,17.2,0.8367,1.25893,24.4388,417.56
1928-10-15,21.96,21.65,19.246,,23.9713,29.9919,17.2,0.8367,1.28621,24.9683,426.295
1928-10-22,21.65,21.65,19.3554,,23.6329,29.5685,17.2,0.8367,1.26899,24.6342,420.277
1928-10-29,21.95,21.68,19.4678,,23.9604,29.9782,17.2,0.8367,1.28752,24.9938,426.101
1928-11-05,22.55,22.24,19.5639,,24.5664,30.645,17.2,0.8433,1.32367,25.6955,437.749
1928-11-12,23.37,22.84,19.6997,,25.4597,31.7594,17.2,0.8433,1.37275,26.6484,453.667
1928-11-19,23.7,23.22,19.8493,,25.8192,32.2078,17.2,0.8433,1.39309,27.0431,460.073
1928-11-26,24.28,23.8,19.9801,,26.4511,32.996,17.2,0.8433,1.42814,27.7235,471.332
1928-12-03,22.36,22.36,20.1351,,24.4382,30.3988,17.1,0.85,1.31616,25.6992,436.599
1928-12-10,22.53,22.31,20.2688,,24.624,30.6299,17.1,0.85,1.32713,25.9134,439.918
1928-12-17,23.33,22.44,20.4043,,25.4983,31.7175,17.1,0.85,1.37522,26.8524,455.539
1928-12-24,23.98,23.44,20.5198,,26.2087,32.6012,17.1,0.85,1.4145,27.6193,468.231
